addressAtDxCity,addrAtDxCity
addressAtDxCountry,addrAtDxCountry
addressAtDxCounty,countyAtDx
addressAtDxPostalCode,addrAtDxPostalCode
addressAtDxState,addrAtDxState
addressAtDxStreetName,addrAtDxNoStreet
addressAtDxSupplementl,addrAtDxSupplementl
addressCurrentCity,addrCurrentCity
addressCurrentCountry,addrCurrentCountry
addressCurrentCounty,countyCurrent
addressCurrentPostalCode,addrCurrentPostalCode
addressCurrentState,addrCurrentState
addressCurrentStreetName,addrCurrentNoStreet
addressCurrentSupplementl,addrCurrentSupplementl
ageAtDx,ageAtDiagnosis
archiveFinNpi,npiArchiveFin
behaviorIcdO3,behaviorCodeIcdO3
bilirubinPretreatmentTotalLabValue,bilirubinPretxTotalLabValue
bilirubinPretreatmentUnitOfMeasure,bilirubinPretxUnitOfMeasure
birthDate,dateOfBirth
birthDateDay,dateOfBirthDay
birthDateFlag,dateOfBirthFlag
birthDateMonth,dateOfBirthMonth
birthDateYear,dateOfBirthYear
birthPlace,birthplace
censusBlockGroup708090,censusBlockGrp197090
censusCertainty2000,censusTrCertainty2000
censusCertainty2010,censusTrCertainty2010
censusCertainty708090,censusTrCert19708090
censusCodingSys708090,censusCodSys19708090
censusPovertyIndictr,censusTrPovertyIndictr
censusTract708090,censusTract19708090
chromosome19qLossOfHeterozygosity,chromosome19qLossHeterozygosity
chromosome1pLossOfHeterozygosity,chromosome1pLossHeterozygosity
countyDxGeocode1990,countyAtDxGeocode1990
countyDxGeocode2000,countyAtDxGeocode2000
countyDxGeocode2010,countyAtDxGeocode2010
countyDxGeocode2020,countyAtDxGeocode2020
creatininePretreatmentUnitOfMeasure,creatininePretxUnitOfMeasure
csVersionOriginal,csVersionInputOriginal
dateOf1stCrsRxCoc,date1stCrsRxCoc
dateOf1stCrsRxCocDay,date1stCrsRxCocDay
dateOf1stCrsRxCocFlag,date1stCrsRxCocFlag
dateOf1stCrsRxCocMonth,date1stCrsRxCocMonth
dateOf1stCrsRxCocYear,date1stCrsRxCocYear
dateOfInitialRx,dateInitialRxSeer
dateOfInitialRxDay,dateInitialRxSeerDay
dateOfInitialRxFlag,dateInitialRxSeerFlag
dateOfInitialRxMonth,dateInitialRxSeerMonth
dateOfInitialRxYear,dateInitialRxSeerYear
dateOfMultipleTumors,dateOfMultTumors
dateOfMultipleTumorsDay,dateOfMultTumorsDay
dateOfMultipleTumorsFlag,dateOfMultTumorsFlag
dateOfMultipleTumorsMonth,dateOfMultTumorsMonth
dateOfMultipleTumorsYear,dateOfMultTumorsYear
dateOfSentinelLymphNodeBiopsy,dateSentinelLymphNodeBiopsy
dateOfSentinelLymphNodeBiopsyDay,dateSentinelLymphNodeBiopsyDay
dateOfSentinelLymphNodeBiopsyMonth,dateSentinelLymphNodeBiopsyMonth
dateOfSentinelLymphNodeBiopsyYear,dateSentinelLymphNodeBiopsyYear
dateRegionalLymphNodeDissection,dateRegionalLNDissection
dateRegionalLymphNodeDissectionDay,dateRegionalLNDissectionDay
dateRegionalLymphNodeDissectionFlag,dateRegionalLNDissectionFlag
dateRegionalLymphNodeDissectionMonth,dateRegionalLNDissectionMonth
dateRegionalLymphNodeDissectionYear,dateRegionalLNDissectionYear
derivedAjcc6MDescriptor,derivedAjcc6MDescript
derivedAjcc6NDescriptor,derivedAjcc6NDescript
derivedAjcc6StageGroup,derivedAjcc6StageGrp
derivedAjcc6TDescriptor,derivedAjcc6TDescript
derivedAjcc7MDescriptor,derivedAjcc7MDescript
derivedAjcc7NDescriptor,derivedAjcc7NDescript
derivedAjcc7StageGroup,derivedAjcc7StageGrp
derivedAjcc7TDescriptor,derivedAjcc7TDescript
derivedNeoAdJuvRxFlag,derivedNeoadjuvRxFlag
derivedPostRx7M,derivedPostrx7M
derivedPostRx7N,derivedPostrx7N
derivedPostRx7StageGroup,derivedPostrx7StgeGrp
derivedPostRx7T,derivedPostrx7T
derivedPreRx7M,derivedPrerx7M
derivedPreRx7MDescriptor,derivedPrerx7MDescrip
derivedPreRx7N,derivedPrerx7N
derivedPreRx7NDescriptor,derivedPrerx7NDescrip
derivedPreRx7StageGroup,derivedPrerx7StageGrp
derivedPreRx7T,derivedPrerx7T
derivedPreRx7TDescriptor,derivedPrerx7TDescrip
derivedSeerCombinedMSrc,derivedSeerCmbMSrc
derivedSeerCombinedNSrc,derivedSeerCmbNSrc
derivedSeerCombinedStgGrp,derivedSeerCmbStgGrp
derivedSeerCombinedTSrc,derivedSeerCmbTSrc
eodCodingSys,codingSystemForEod
estrogenReceptorPercentPositiveOrRange,estrogenReceptorPercntPosOrRange
extentOfDisease10Digit,extentOfDisease10Dig
extranodalExtensionHeadAndNeckClinical,extranodalExtensionHeadNeckClin
extranodalExtensionHeadAndNeckPathological,extranodalExtensionHeadNeckPath
followUpContactNoAndStreet,followUpContactNost
followingRegistryNpi,npiFollowingRegistry
gestationalTrophoblasticPrognosticScoringIndex,gestationalTrophoblasticPxIndex
gisQuality,gisCoordinateQuality
gradePathSys,gradePathSystem
histologyIcdO3,histologicTypeIcdO3
ihs,ihsLink
industryCodeCensus,censusIndCode19702000
institutionReferredFromNpi,npiInstReferredFrom
institutionReferredToNpi,npiInstReferredTo
internationalNormalizedRatioForProthrombinTime,iNRProthrombinTime
ipsilateralAdrenalGlandInvolvement,ipsilateralAdrenalGlandInvolve
lnAssessmentMethodFemoralInguinal,lnAssessMethodFemoralInguinal
lnAssessmentMethodParaAortic,lnAssessMethodParaaortic
lnAssessmentMethodPelvic,lnAssessMethodPelvic
lnDistantAssessmentMethod,lnDistantAssessMethod
lnStatusFemoralInguinalParaAorticPelvic,lnStatusFemorInguinParaaortPelv
methylationOfO6MethylguanineMethyltransferase,methylationOfO6MGMT
metsDxBone,metsAtDxBone
metsDxBrain,metsAtDxBrain
metsDxDistantLn,metsAtDxDistantLn
metsDxLiver,metsAtDxLiver
metsDxLung,metsAtDxLung
metsDxOther,metsAtDxOther
morphCodingSysOriginal,morphCodingSysOriginl
morphologyIcdO1,morphIcdO1
morphologyIcdO2,morphTypebehavIcdO2
morphologyIcdO3,morphTypebehavIcdO3
multiTumorRptAsOnePrim,multTumRptAsOnePrim
napiia,raceNapiia
nhia,nhiaDerivedHispOrigin
npcrDerivedAjcc8TnmPostTherapyStgGrp,npcrDerivedAjcc8TnmPostStgGrp
numberOfPhasesOfRadTreatmentToThisVolume,numberPhasesOfRadTxToVolume
occupationCodeCensus,censusOccCode19702000
occupationIndustryCodingSys,censusOccIndSys7000
oncotypeDxRecurrenceScoreInvasive,oncotypeDxRecurrenceScoreInvasiv
overRideHospSeqDxConf,overRideHospseqDxconf
overRideHospSeqSite,overRideHospseqSite
overRideSeqNoDxConf,overRideSeqnoDxconf
overRideSiteEodDxDate,overRideSiteEodDxDt
overRideSiteLatSeqNo,overRideSiteLatSeqno
overRideSiteTnmStgGrp,overRideSiteTnmStggrp
overRideSsNodesPos,overRideSsNodespos
overRideSurgDxConf,overRideSurgDxconf
overrideCs1,overRideCs1
overrideCs10,overRideCs10
overrideCs11,overRideCs11
overrideCs12,overRideCs12
overrideCs13,overRideCs13
overrideCs14,overRideCs14
overrideCs15,overRideCs15
overrideCs16,overRideCs16
overrideCs17,overRideCs17
overrideCs18,overRideCs18
overrideCs19,overRideCs19
overrideCs2,overRideCs2
overrideCs20,overRideCs20
overrideCs3,overRideCs3
overrideCs4,overRideCs4
overrideCs5,overRideCs5
overrideCs6,overRideCs6
overrideCs7,overRideCs7
overrideCs8,overRideCs8
overrideCs9,overRideCs9
pathReportFacId1,pathReportingFacId1
pathReportFacId2,pathReportingFacId2
pathReportFacId3,pathReportingFacId3
pathReportFacId4,pathReportingFacId4
pathReportFacId5,pathReportingFacId5
patientSysIdHospital,patientSystemIdHosp
pediatricStagingSys,pediatricStagingSystem
phase1RadiationExternalBeamPlanningTech,phase1RadiationExternalBeamTech
phase1RadiationPrimaryTreatmentVolume,phase1RadiationPrimaryTxVolume
phase1RadiationToDrainingLymphNodes,phase1RadiationToDrainingLN
phase2RadiationExternalBeamPlanningTech,phase2RadiationExternalBeamTech
phase2RadiationPrimaryTreatmentVolume,phase2RadiationPrimaryTxVolume
phase2RadiationToDrainingLymphNodes,phase2RadiationToDrainingLN
phase3RadiationExternalBeamPlanningTech,phase3RadiationExternalBeamTech
phase3RadiationPrimaryTreatmentVolume,phase3RadiationPrimaryTxVolume
phase3RadiationToDrainingLymphNodes,phase3RadiationToDrainingLN
physician3Npi,npiPhysician3
physician4Npi,npiPhysician4
physicianFollowUpNpi,npiPhysicianFollowUp
physicianManagingNpi,npiPhysicianManaging
physicianPrimarySurgNpi,npiPhysicianPrimarySurg
placeOfDiagnosis,textPlaceOfDiagnosis
primarySiteIcdO1,siteIcdO1
progesteroneReceptorPercentPositiveOrRange,progesteroneRecepPrcntPosOrRange
progesteroneReceptorSummary,progesteroneRecepSummary
progesteroneReceptorTotalAllredScore,progesteroneRecepTotalAllredScor
radiationTreatmentDiscontinuedEarly,radiationTxDiscontinuedEarly
registryIdNpi,npiRegistryId
reportingFacilityNpi,npiReportingFacility
residualTumorVolumePostCytoreduction,residualTumVolPostCytoreduction
ruralUrbanContinuum1993,ruralurbanContinuum1993
ruralUrbanContinuum2003,ruralurbanContinuum2003
ruralUrbanContinuum2013,ruralurbanContinuum2013
rxCodingSysCurrent,rxCodingSystemCurrent
rxSummSurgicalApproach,rxSummSurgicalApproch
rxSummSystemicSurgSeq,rxSummSystemicSurSeq
rxTextRadiationBeam,rxTextRadiation
seerSiteSpecificFactor1,seerSiteSpecificFact1
seerSiteSpecificFactor2,seerSiteSpecificFact2
seerSiteSpecificFactor3,seerSiteSpecificFact3
seerSiteSpecificFactor4,seerSiteSpecificFact4
seerSiteSpecificFactor5,seerSiteSpecificFact5
seerSiteSpecificFactor6,seerSiteSpecificFact6
sequenceNumberHosp,sequenceNumberHospital
serumBeta2MicroglobulinPretreatmentLevel,serumBeta2MicroglobulinPretxLvl
subsqRx2ndCourseDateFlag,subsqRx2ndcrsDateFlag
subsqRx3rdCourseDateFlag,subsqRx3rdcrsDateFlag
subsqRx4thCourseDateFlag,subsqRx4thcrsDateFlag
survDateActiveFollowUp,survDateActiveFollowup
survDateActiveFollowUpDay,survDateActiveFollowupDay
survDateActiveFollowUpMonth,survDateActiveFollowupMonth
survDateActiveFollowUpYear,survDateActiveFollowupYear
survFlagActiveFollowUp,survFlagActiveFollowup
survMonthsActiveFollowUp,survMosActiveFollowup
survMonthsPresumedAlive,survMosPresumedAlive
visceralAndParietalPleuralInvasion,visceralParietalPleuralInvasion
