ALY,ALLEY
ANX,ANNEX
ARC,ARCADE
AVE,AVENUE
BCH,BEACH
BG,BURG
BGS,BURGS
BLF,BLUFF
BLFS,BLUFFS
BLVD,BOULEVARD
BND,BEND
BR,BRANCH
BRG,BRIDGE
BRK,BROOK
BRKS,BROOKS
BTM,BOTTOM
BYP,BYPASS
BYU,BAYOU
CIR,CIRCLE
CIRS,CIRCLES
CLB,CLUB
CLF,CLIFF
CLFS,CLIFFS
CLS,CLOSE
CMN,COMMON
CMNS,COMMONS
CONN,CONNECTOR
COR,CORNER
CORS,CORNERS
CP,CAMP
CPE,CAPE
CRES,CRESCENT
CRK,CREEK
CRSE,COURSE
CRST,CREST
CSWY,CAUSEWAY
CT,COURT
CTR,CENTER
CTRS,CENTERS
CTS,COURTS
CURV,CURVE
CV,COVE
CVS,COVES
CYN,CANYON
DL,DALE
DM,DAM
DR,DRIVE
DRS,DRIVES
DV,DIVIDE
EDGE,EDGE
EST,ESTATE
ESTS,ESTATES
EXPY,EXPRESSWAY
EXT,EXTENSION
EXTS,EXTENSIONS
FALL,FALL
FLD,FIELD
FLDS,FIELDS
FLS,FALLS
FLT,FLAT
FLTS,FLATS
FRD,FORD
FRDS,FORDS
FRG,FORGE
FRGS,FORGES
FRK,FORK
FRKS,FORKS
FRST,FOREST
FRY,FERRY
FT,FORT
FWY,FREEWAY
GDN,GARDEN
GDNS,GARDENS
GLN,GLEN
GLNS,GLENS
GRN,GREEN
GRNS,GREENS
GRV,GROVE
GRVS,GROVES
GTE,GATE
GTES,GATES
GTWY,GATEWAY
HBR,HARBOR
HBRS,HARBORS
HL,HILL
HLS,HILLS
HOLW,HOLLOW
HTS,HEIGHTS
HVN,HAVEN
HWY,HIGHWAY
INLT,INLET
IS,ISLAND
ISLE,ISLE
ISS,ISLANDS
JCT,JUNCTION
JCTS,JUNCTIONS
KNL,KNOLL
KNLS,KNOLLS
KY,KEY
KYS,KEYS
LAND,LAND
LCK,LOCK
LCKS,LOCKS
LDG,LODGE
LF,LOAF
LGT,LIGHT
LGTS,LIGHTS
LK,LAKE
LKS,LAKES
LN,LANE
LNDG,LANDING
LOOP,LOOP
MALL,MALL
MART,MART
MAZE,MAZE
MDW,MEADOW
MDWS,MEADOWS
MEWS,MEWS
ML,MILL
MLS,MILLS
MNR,MANOR
MNRS,MANORS
MSN,MISSION
MT,MOUNT
MTN,MOUNTAIN
MTNS,MOUNTAINS
MTWY,MOTORWAY
NCK,NECK
OPAS,OVERPASS
ORCH,ORCHARD
OVAL,OVAL
PARK,PARK(S)
PASS,PASS
PATH,PATH
PIKE,PIKE
PKWY,PARKWAY(S)
PL,PLACE
PLN,PLAIN
PLNS,PLAINS
PLZ,PLAZA
PNE,PINE
PNES,PINES
PR,PRAIRIE
PRT,PORT
PRTS,PORTS
PSGE,PASSAGE
PT,POINT
PTS,POINTS
QUAY,QUAY
RADL,RADIAL
RAMP,RAMP
RD,ROAD
RDG,RIDGE
RDGS,RIDGES
RDS,ROADS
RIV,RIVER
RNCH,RANCH
ROW,ROW
RPD,RAPID
RPDS,RAPIDS
RST,REST
RTE,ROUTE
RUE,RUE
RUN,RUN
SHL,SHOAL
SHLS,SHOALS
SHR,SHORE
SHRS,SHORES
SKWY,SKYWAY
SMT,SUMMIT
SPG,SPRING
SPGS,SPRINGS
SPUR,SPUR(S)
SQ,SQUARE
SQS,SQUARES
ST,STREET
STA,STATION
STRA,STRAVENUE
STRM,STREAM
STS,STREETS
SUBD,SUBDIVISION
TER,TERRACE
TPKE,TURNPIKE
TRAK,TRACK
TRCE,TRACE
TRFY,TRAFFICWAY
TRL,TRAIL
TRLR,TRAILER
TRWY,THROUGHWAY
TUNL,TUNNEL
UN,UNION
UNS,UNIONS
UPAS,UNDERPASS
VIA,VIADUCT
VIS,VISTA
VL,VILLE
VLG,VILLAGE
VLGS,VILLAGES
VLY,VALLEY
VLYS,VALLEYS
VW,VIEW
VWS,VIEWS
WALK,WALK(S)
WALL,WALL
WAY,WAY
WAYS,WAYS
WKWY,WALKWAY
WL,WELL
WLS,WELLS
XING,CROSSING
XRD,CROSSROAD
XRDS,CROSSROADS
