017,Crop production
018,Animal production
019,Forestry except logging
027,Logging
028,"Fishing, hunting, and trapping"
029,Support activities for agriculture and forestry
037,Oil and gas extraction
038,Coal mining
039,Metal ore mining
047,Nonmetallic mineral mining and quarrying
048,Not specified type of mining
049,Support activities for mining
057,Electric power generation transmission and distribution
058,Natural gas distribution
059,Electric and gas and other combinations
067,"Water, steam, air-conditioning, and irrigation systems"
068,Sewage treatment facilities
069,Not specified utilities
077,Construction
107,"Animal food, grain, and oilseed milling"
108,Sugar and confectionery products
109,Fruit and vegetable preserving and specialty food manufacturing
117,Dairy product manufacturing
118,Animal slaughtering and processing
119,Retail bakeries
127,Bakeries except retail
128,Seafood and other miscellaneous foods n.e.c.
129,Not specified food industries
137,Beverage manufacturing
139,Tobacco manufacturing
147,"Fiber, yarn, and thread mills"
148,"Fabric mills, except knitting"
149,Textile and fabric finishing and coating mills
157,Carpets and rugs manufacturing
159,Textile product mills except carpets and rugs
167,Knitting mills
168,Cut and sew apparel manufacturing
169,Apparel accessories and other apparel manufacturing
177,Footwear manufacturing
179,"Leather tanning and products, except footwear manufacturing"
187,"Pulp, paper, and paperboard mills"
188,Paperboard containers and boxes
189,Miscellaneous paper and pulp products
199,Printing and related support activities
207,Petroleum refining
209,Miscellaneous petroleum and coal products
217,"Resin, synthetic rubber and fibers, and filaments manufacturing"
218,Agricultural chemical manufacturing
219,Pharmaceutical and medicine manufacturing
227,"Paint, coating, and adhesives manufacturing"
228,"Soap, cleaning compound, and cosmetic manufacturing"
229,Industrial and miscellaneous chemicals
237,Plastics product manufacturing
238,Tire manufacturing
239,"Rubber products, except tires, manufacturing"
247,"Pottery, ceramics, and related products manufacturing"
248,Structural clay product manufacturing
249,Glass and glass product manufacturing
257,"Cement, concrete, lime, and gypsum product manufacturing"
259,Miscellaneous nonmetallic mineral product manufacturing
267,Iron and steel mills and steel product manufacturing
268,Aluminum production and processing
269,"Nonferrous metal, except aluminum, production and processing"
277,Foundries
278,Metal forgings and stampings
279,Cutlery and hand tool manufacturing
287,Structural metals and tank and shipping container manufacturing
288,Machine shops; turned product; screw nut and bolt manufacturing
289,"Coating, engraving, heat treating and allied activities"
297,Ordnance
298,Miscellaneous fabricated metal products manufacturing
299,Not specified metal industries
307,Agricultural implement manufacturing
308,Construction mining and oil field machinery manufacturing
309,Commercial and service industry machinery manufacturing
317,Metalworking machinery manufacturing
318,"Engines, turbines, and power transmission equipment manufacturing"
319,"Machinery manufacturing, n.e.c."
329,Not specified machinery manufacturing
336,Computer and peripheral equipment manufacturing
337,"Communications, audio, and video equipment manufacturing"
338,"Navigational, measuring, electromedical, and control instruments manufacturing"
339,"Electronic component and product manufacturing, n.e.c."
347,Household appliance manufacturing
349,"Electrical machinery, equipment, and supplies manufacturing, n.e.c."
357,Motor vehicles and motor vehicle equipment manufacturing
358,Aircraft and parts manufacturing
359,Aerospace product and parts manufacturing
367,Railroad rolling stock manufacturing
368,Ship and boat building
369,Other transportation equipment manufacturing
377,Sawmills and wood preservation
378,"Veneer, plywood, and engineered wood product manufacturing"
379,Prefabricated wood buildings and mobile homes manufacturing
387,Miscellaneous wood product manufacturing
389,Furniture and fixtures
