001,Chief Executives
002,General & Operations Managers
003,Legislators
004,Advertising & Promotions Managers
005,Marketing & Sales Managers
006,Public Relations Managers
010,Administrative Services Managers
011,Computer & Information Systems Managers
012,Financial Managers
013,Human Resources Managers
014,Industrial Production Managers
015,Purchasing Managers
016,"Transportation, Storage, & Distribution Managers"
020,"Farm, Ranch, & Other Agricultural Managers"
021,Farmers & Ranchers
022,Construction Managers
023,Education Administrators
030,Engineering Managers
031,Food Service Managers
032,Funeral Directors
033,Gaming Managers
034,Lodging Managers
035,Medical & Health Services Managers
036,Natural Sciences Managers
040,Postmasters & Mail Superintendents
041,"Property, Real Estate, & Community Association Managers"
042,Social & Community Service Managers
043,"Managers, All Other"
050,"Agents & Business Managers of Artists, Performers, & Athletes"
051,"Purchasing Agents & Buyers, Farm Products"
052,"Wholesale & Retail Buyers, Except Farm Products"
053,"Purchasing Agents, Except Wholesale, Retail, & Farm Products"
054,"Claims Adjusters, Appraisers, Examiners, & Investigators"
056,"Compliance Officers, Except Agriculture, Construction, Health & Safety, & Transportation"
060,Cost Estimators
062,"Human Resources, Training, & Labor Relations Specialists"
070,Logisticians
071,Management Analysts
072,Meeting & Convention Planners
073,Other Business Operations Specialists
080,Accountants & Auditors
081,Appraisers & Assessors of Real Estate
082,Budget Analysts
083,Credit Analysts
084,Financial Analysts
085,Personal Financial Advisors
086,Insurance Underwriters
090,Financial Examiners
091,Loan Counselors & Officers
093,"Tax Examiners, Collectors, & Revenue Agents"
094,Tax Preparers
095,"Financial Specialists, All Other"
100,Computer Scientists & Systems Analysts
101,Computer Programmers
102,Computer Software Engineers
104,Computer Support Specialists
106,Database Administrators
110,Network & Computer Systems Administrators
111,Network Systems & Data Communications Analysts
120,Actuaries
121,Mathematicians
122,Operations Research Analysts
123,Statisticians
124,Miscellaneous Mathematical Science Occupations
130,"Architects, Except Naval"
131,"Surveyors, Cartographers, & Photogrammetrists"
132,Aerospace Engineers
133,Agricultural Engineers
134,Biomedical Engineers
135,Chemical Engineers
136,Civil Engineers
140,Computer Hardware Engineers
141,Electrical & Electronics Engineers
142,Environmental Engineers
143,"Industrial Engineers, Including Health & Safety"
144,Marine Engineers & Naval Architects
145,Materials Engineers
146,Mechanical Engineers
150,"Mining & Geological Engineers, Including Mining Safety Engineers"
151,Nuclear Engineers
152,Petroleum Engineers
153,"Engineers, All Other"
154,Drafters
155,"Engineering Technicians, Except Drafters"
156,Surveying & Mapping Technicians
160,Agricultural & Food Scientists
161,Biological Scientists
164,Conservation Scientists & Foresters
165,Medical Scientists
170,Astronomers & Physicists
171,Atmospheric & Space Scientists
172,Chemists & Materials Scientists
174,Environmental Scientists & Geoscientists
176,"Physical Scientists, All Other"
180,Economists
181,Market & Survey Researchers
182,Psychologists
183,Sociologists
184,Urban & Regional Planners
186,Miscellaneous Social Scientists & Related Workers
190,Agricultural & Food Science Technicians
191,Biological Technicians
192,Chemical Technicians
193,Geological & Petroleum Technicians
194,Nuclear Technicians
196,"Other Life, Physical, & Social Science Technicians"
200,Counselors
201,Social Workers
202,Miscellaneous Community & Social Service Specialists
204,Clergy
205,"Directors, Religious Activities & Education"
206,"Religious Workers, All Other"
210,Lawyers
211,"Judges, Magistrates, & Other Judicial Workers"
214,Paralegals & Legal Assistants
215,Miscellaneous Legal Support Workers
220,Postsecondary Teachers
230,Preschool & Kindergarten Teachers
231,Elementary & Middle School Teachers
232,Secondary School Teachers
233,Special Education Teachers
234,Other Teachers & Instructors
240,"Archivists, Curators, & Museum Technicians"
243,Librarians
244,Library Technicians
254,Teacher Assistants
255,"Other Education, Training, & Library Workers"
260,Artists & Related Workers
263,Designers
270,Actors
271,Producers & Directors
272,"Athletes, Coaches, Umpires, & Related Workers"
274,Dancers & Choreographers
275,"Musicians, Singers, & Related Workers"
276,"Entertainers & Performers, Sports & Related Workers, All Other"
280,Announcers
281,"News Analysts, Reporters & Correspondents"
282,Public Relations Specialists
283,Editors
284,Technical Writers
285,Writers & Authors
286,Miscellaneous Media & Communication Workers
290,Broadcast & Sound Engineering Technicians & Radio Operators
291,Photographers
292,"Television, Video, & Motion Picture Camera Operators & Editors"
296,"Media & Communication Equipment Workers, All Other"
300,Chiropractors
301,Dentists
303,Dietitians & Nutritionists
304,Optometrists
305,Pharmacists
306,Physicians & Surgeons
311,Physician Assistants
312,Podiatrists
313,Registered Nurses
314,Audiologists
315,Occupational Therapists
316,Physical Therapists
320,Radiation Therapists
321,Recreational Therapists
322,Respiratory Therapists
323,Speech-Language Pathologists
324,"Therapists, All Other"
325,Veterinarians
326,"Health Diagnosing & Treating Practitioners, All Other"
330,Clinical Laboratory Technologists & Technicians
331,Dental Hygienists
332,Diagnostic Related Technologists & Technicians
340,Emergency Medical Technicians & Paramedics
341,Health Diagnosing & Treating Practitioner Support Technicians
350,Licensed Practical & Licensed Vocational Nurses
351,Medical Records & Health Information Technicians
352,"Opticians, Dispensing"
353,Miscellaneous Health Technologists & Technicians
354,Other Healthcare Practitioners & Technical Occupations
360,"Nursing, Psychiatric, & Home Health Aides"
361,Occupational Therapist Assistants & Aides
362,Physical Therapist Assistants & Aides
363,Massage Therapists
364,Dental Assistants
365,Medical Assistants & Other Healthcare Support Occupations
370,First-Line Supervisors/Managers of Correctional Officers
371,First-Line Supervisors/Managers of Police & Detectives
372,First-Line Supervisors/Managers of Fire Fighting & Prevention Workers
373,"Supervisors, Protective Service Workers, All Other"
374,Fire Fighters
375,Fire Inspectors
380,"Bailiffs, Correctional Officers, & Jailers"
382,Detectives & Criminal Investigators
383,Fish & Game Wardens
384,Parking Enforcement Workers
385,Police & Sheriff's Patrol Officers
386,Transit & Railroad Police
390,Animal Control Workers
391,Private Detectives & Investigators
392,Security Guards & Gaming Surveillance Officers
394,Crossing Guards
395,Lifeguards & Other Protective Service Workers
400,Chefs & Head Cooks
401,First-Line Supervisors/Managers of Food Preparation & Serving Workers
402,Cooks
403,Food Preparation Workers
404,Bartenders
405,"Combined Food Preparation & Serving Workers, Including Fast Food"
406,"Counter Attendants, Cafeteria, Food Concession, & Coffee Shop"
411,Waiters & Waitresses
412,"Food Servers, Nonrestaurant"
413,Dining Room & Cafeteria Attendants & Bartender Helpers
414,Dishwashers
415,"Hosts & Hostesses, Restaurant, Lounge, & Coffee Shop"
416,"Food Preparation & Serving Related Workers, All Other"
420,First-Line Supervisors/Managers of Housekeeping & Janitorial Workers
421,"First-Line Supervisors/Managers of Landscaping, Lawn Service, & Groundskeeping Workers"
422,Janitors & Building Cleaners
423,Maids & Housekeeping Cleaners
424,Pest Control Workers
425,Grounds Maintenance Workers
430,First-Line Supervisors/Managers of Gaming Workers
432,First-Line Supervisors/Managers of Personal Service Workers
434,Animal Trainers
435,Nonfarm Animal Caretakers
440,Gaming Services Workers
441,Motion Picture Projectionists
442,"Ushers, Lobby Attendants, & Ticket Takers"
443,Miscellaneous Entertainment Attendants & Related Workers
446,Funeral Service Workers
450,Barbers
451,"Hairdressers, Hairstylists, & Cosmetologists"
452,Miscellaneous Personal Appearance Workers
453,"Baggage Porters, Bellhops, & Concierges"
454,Tour & Travel Guides
455,Transportation Attendants
460,Child Care Workers
461,Personal & Home Care Aides
462,Recreation & Fitness Workers
464,Residential Advisors
465,"Personal Care & Service Workers, All Other"
470,First-Line Supervisors/Managers of Retail Sales Workers
471,First-Line Supervisors/Managers of Non-Retail Sales Workers
472,Cashiers
474,Counter & Rental Clerks
475,Parts Salespersons
476,Retail Salespersons
480,Advertising Sales Agents
481,Insurance Sales Agents
482,"Securities, Commodities, & Financial Services Sales Agents"
483,Travel Agents
484,"Sales Representatives, Services, All Other"
485,"Sales Representatives, Wholesale & Manufacturing"
490,"Models, Demonstrators, & Product Promoters"
492,Real Estate Brokers & Sales Agents
493,Sales Engineers
494,Telemarketers
495,"Door-To-Door Sales Workers, News & Street Vendors, & Related Workers"
496,"Sales & Related Workers, All Other"
500,First-Line Supervisors/Managers of Office & Administrative Support Workers
501,"Switchboard Operators, Including Answering Service"
502,Telephone Operators
503,"Communications Equipment Operators, All Other"
510,Bill & Account Collectors
511,Billing & Posting Clerks & Machine Operators
512,"Bookkeeping, Accounting, & Auditing Clerks"
513,Gaming Cage Workers
514,Payroll & Timekeeping Clerks
515,Procurement Clerks
516,Tellers
520,Brokerage Clerks
521,Correspondence Clerks
522,"Court, Municipal, & License Clerks"
523,"Credit Authorizers, Checkers, & Clerks"
524,Customer Service Representatives
525,"Eligibility Interviewers, Government Programs"
526,File Clerks
530,"Hotel, Motel, & Resort Desk Clerks"
531,"Interviewers, Except Eligibility & Loan"
532,"Library Assistants, Clerical"
533,Loan Interviewers & Clerks
534,New Accounts Clerks
535,Order Clerks
536,"Human Resources Assistants, Except Payroll & Timekeeping"
540,Receptionists & Information Clerks
541,Reservation & Transportation Ticket Agents & Travel Clerks
542,"Information & Record Clerks, All Other"
550,Cargo & Freight Agents
551,Couriers & Messengers
552,Dispatchers
553,"Meter Readers, Utilities"
554,Postal Service Clerks
555,Postal Service Mail Carriers
556,"Postal Service Mail Sorters, Processors, & Processing Machine Operators"
560,"Production, Planning, & Expediting Clerks"
561,"Shipping, Receiving, & Traffic Clerks"
562,Stock Clerks & Order Fillers
563,"Weighers, Measurers, Checkers, & Samplers, Recordkeeping"
570,Secretaries & Administrative Assistants
580,Computer Operators
581,Data Entry Keyers
582,Word Processors & Typists
583,Desktop Publishers
584,Insurance Claims & Policy Processing Clerks
585,"Mail Clerks & Mail Machine Operators, Except Postal Service"
586,"Office Clerks, General"
590,"Office Machine Operators, Except Computer"
591,Proofreaders & Copy Markers
592,Statistical Assistants
593,"Office & Administrative Support Workers, All Other"
600,"First-Line Supervisors/Managers of Farming, Fishing, & Forestry Workers"
601,Agricultural Inspectors
602,Animal Breeders
604,"Graders & Sorters, Agricultural Products"
605,Miscellaneous Agricultural Workers
610,Fishers & Related Fishing Workers
611,Hunters & Trappers
612,Forest & Conservation Workers
613,Logging Workers
620,First-Line Supervisors/Managers of Construction Trades & Extraction Workers
621,Boilermakers
622,"Brickmasons, Blockmasons, & Stonemasons"
623,Carpenters
