00,No COC coding system used
01,Pre-1988 (Cancer Program Manual Supplement)
02,1988 Data Acquisition Manual
03,1989 Data Acquisition Manual Revisions
04,1990 Data Acquisition Manual Revisions
05,1994 Data Acquisition Manual (Interim/Revised)
06,ROADS (effective with cases diagnosed 1996-1997)
07,ROADS and 1998 Supplement (effective with cases diagnosed 1998-2002)
08,FORDS (effective with cases diagnosed 2003-2017)
09,STORE (effective with cases diagnosed 2018 and forward)
99,Unknown coding system
