1,"ICD-O, First Edition"
2,"ICD-O, 1986 Field Trial"
3,"ICD-O, 1988 Field Trial"
4,"ICD-O, Second Edition"
5,"ICD-O, Second Edition, plus REAL lymphoma codes effective 1/1/95"
6,"ICD-O, Second Edition, plus FAB codes effective 1/1/98"
7,"ICD-O, Third Edition"
8,"ICD-O, Third Edition, plus 2008 WHO hematopoietic/lymphoid new terms used for conditions diagnosed 1/1/2010"
9,Other
A,"ICD-O, Third Edition, plus WHO new terms used for conditions, effective 1/1/2018"
B,"ICD-O 3.2, effective 1/1/2021"
C,"ICD-O-3.2, plus, WHO new terms used for conditions, effective 1/1/2022"
D,"ICD-O-3.2, plus, WHO new terms used for conditions, effective 1/1/2023***"
