0,Stage 0
0A,Stage 0A
0IS,Stage 0is
1,Stage I
1A,Stage IA
1A1,Stage IA1
1A2,Stage IA2
1B,Stage IB
1B1,Stage IB1
1B2,Stage IB2
1C,Stage IC
1S,Stage IS
2,Stage II
2A,Stage IIA
2A1,Stage IIA1
2A2,Stage IIA2
2B,Stage IIB
2C,Stage IIC
3,Stage III
3A,Stage IIIA
3B,Stage IIIB
3C,Stage IIIC
3C1,Stage IIIC1
3C2,Stage IIIC2
4,Stage IV
4A,Stage IVA
4A1,Stage IVA1
4A2,Stage IVA2
4B,Stage IVB
4C,Stage IVC
OC,Occult
88,Not applicable
90,The algorithm has been run but there were data errors that prevented the derivation of this field
99,Unknown
