cX,cTX
c0,cT0
pA,pTa
pIS,pTis
pISU,pTispu
pISD,pTispd
c1MI,"cT1mi, cT1 mic"
c1,cT1
c1A,cT1a
c1A1,cT1a1
c1A2,cT1a2
c1B,cT1b
c1B1,cT1b1
c1B2,cT1b2
c1C,cT1c
c1D,cT1d
c2,cT2
c2A,cT2a
c2A1,cT2a1
c2A2,cT2a2
c2B,cT2b
c2C,cT2c
c2D,cT2d
c3,cT3
c3A,cT3a
c3B,cT3b
c3C,cT3c
c3D,cT3d
c4,cT4
c4A,cT4a
c4B,cT4b
c4C,cT4c
c4D,cT4d
c4E,cT4e
X,TX
0,T0
A,Ta
IS,Tis
ISPU,Tispu
ISPD,Tispd
1MI,"T1mi, T1 mic"
1,T1
1A,T1a
1A1,T1a1
1A2,T1a2
1B,T1b
1B1,T1b1
1B2,T1b2
1C,T1c
1D,T1d
2,T2
2A,T2a
2A1,T2a1
2A2,T2a2
2B,T2b
2C,T2c
2D,T2d
3,T3
3A,T3a
3B,T3b
3C,T3c
3D,T3d
4,T4
4A,T4a
4B,T4b
4C,T4c
4D,T4d
4E,T4e
88,Not applicable
Blank,Not Recorded
